指标,原始均值,1%-99%截尾均值,中位数,原始标准差
ROA,0.01116040350877193,0.010699821988304088,0.027250999999999997,0.09908146729145915
ROE,0.006130892857142857,0.006778108928571426,0.041599,0.18361671909244828
营业净利率,-0.023494780821917804,-0.0041174423013698586,0.070681,0.5424000651388642
