年份,样本公司数,ROA_均值,ROA_中位数,ROA_P25,ROA_P75,ROA_负值占比,ROE_均值,ROE_中位数,ROE_P25,ROE_P75,ROE_负值占比,营业净利率_均值,营业净利率_中位数,营业净利率_P25,营业净利率_P75,营业净利率_负值占比
2020,73,0.02386572881355932,0.040638,0.0107745,0.0807485,0.1864406779661017,0.04438245614035088,0.067946,0.025888,0.130447,0.15789473684210525,-0.050065547945205485,0.099969,0.022278,0.19138,0.1506849315068493
2021,73,0.04181209230769231,0.042171,0.01216,0.081867,0.16923076923076924,0.04067788888888888,0.06887,0.0198795,0.106752,0.1746031746031746,0.07851543835616438,0.102411,0.015295,0.164493,0.1506849315068493
2022,73,0.014323027777777778,0.024202500000000002,0.00327775,0.05640825,0.2361111111111111,0.008871375000000004,0.032354,0.0050349999999999995,0.084259,0.2361111111111111,0.006844301369863011,0.053294,0.005227,0.124791,0.2328767123287671
2023,73,-0.004145986301369864,0.024294,-0.002531,0.052449,0.2602739726027397,-0.005875388888888889,0.041195999999999997,0.00076125,0.08068375,0.25,-0.06434227397260275,0.054709,-0.014079,0.12589,0.2602739726027397
2024,73,-0.014213794520547945,0.007662,-0.053126,0.039546,0.4383561643835616,-0.04511441666666668,0.014682500000000001,-0.08958925000000001,0.049846,0.4305555555555556,-0.0884258219178082,0.010889,-0.110936,0.086613,0.4383561643835616
