指标,样本量,均值,中位数,标准差,P10,P25,P50,P75,P90,负值占比,正值占比
ROA,342.0,0.01116040350877193,0.027250999999999997,0.09908146729145915,-0.1114717,-0.012407,0.027250999999999997,0.060661,0.09644150000000001,0.2631578947368421,0.7368421052631579
ROE,336.0,0.006130892857142857,0.041599,0.18361671909244828,-0.192001,-0.0054265,0.041599,0.09208875,0.14198650000000002,0.25595238095238093,0.7440476190476191
营业净利率,365.0,-0.023494780821917804,0.070681,0.5424000651388642,-0.2648386,0.001405,0.070681,0.138919,0.24546840000000023,0.2465753424657534,0.7534246575342466
营业毛利率,365.0,0.3444584575342466,0.317947,0.23760038822419333,0.06298619999999999,0.1811,0.317947,0.48921,0.6759510000000002,0.021917808219178082,0.9780821917808219
